               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079298,            0.027235,            0.044311,             0.24408,             0.58585,             0.28598,             0.13327,            0.032456,           0.0088095,            0.027435,            0.070197,           0.0033114,           0.0033114
                   1,            0.054163,            0.018633,            0.038768,             0.31218,             0.68397,              0.3735,             0.18935,            0.031411,           0.0070983,            0.021966,            0.040066,           0.0065132,           0.0065132
                   2,            0.048723,            0.016508,            0.035072,             0.40558,             0.67287,             0.52018,             0.24478,            0.026998,           0.0069326,            0.018881,           0.0098022,           0.0095829,           0.0095829
                   3,            0.046195,            0.015168,            0.032121,             0.51806,             0.75668,             0.64727,             0.31928,            0.026527,           0.0066617,            0.017038,            0.009406,            0.009406,            0.009406
                   4,            0.042226,            0.014845,            0.030048,             0.58765,             0.78327,             0.69183,             0.42588,            0.020791,           0.0063011,            0.014376,            0.009406,            0.009406,            0.009406
                   5,            0.039378,            0.014436,            0.029333,             0.65048,             0.77662,             0.70253,             0.45617,            0.018394,           0.0063894,             0.01347,            0.009208,            0.009208,            0.009208
                   6,            0.038254,            0.013929,            0.028268,             0.58533,             0.84442,             0.70986,             0.48437,            0.018369,           0.0062328,            0.013693,             0.00901,             0.00901,             0.00901
                   7,            0.037095,            0.013365,            0.028252,              0.6097,             0.82432,             0.70828,              0.4447,            0.019964,           0.0063896,            0.014429,            0.008812,            0.008812,            0.008812
                   8,            0.036554,            0.013287,             0.02725,             0.64794,             0.84811,             0.73538,             0.51322,            0.017168,            0.005668,            0.012728,            0.008614,            0.008614,            0.008614
                   9,            0.034423,            0.012964,            0.026855,             0.66419,             0.88857,             0.74809,             0.52157,            0.016656,           0.0055751,            0.011753,            0.008416,            0.008416,            0.008416
                  10,             0.03286,            0.012971,            0.026067,             0.67606,             0.87772,             0.75064,              0.5345,            0.016181,           0.0055792,            0.012113,            0.008218,            0.008218,            0.008218
                  11,            0.033081,            0.012738,            0.025475,             0.72462,              0.8651,             0.79809,             0.59677,            0.014582,           0.0052506,            0.011516,             0.00802,             0.00802,             0.00802
                  12,             0.03213,            0.012498,            0.025066,             0.69278,             0.89169,             0.78803,             0.58417,            0.015068,           0.0055064,            0.011643,            0.007822,            0.007822,            0.007822
                  13,            0.031686,            0.011778,            0.023997,             0.69447,             0.86911,              0.7844,             0.58341,            0.014527,           0.0051812,            0.011587,            0.007624,            0.007624,            0.007624
                  14,            0.030958,            0.011638,            0.023931,             0.70169,             0.85018,             0.80828,             0.61496,            0.014567,           0.0052887,            0.011421,            0.007426,            0.007426,            0.007426
                  15,            0.030796,            0.011712,            0.025242,             0.72051,             0.85072,             0.80866,             0.61683,            0.013839,           0.0049796,            0.011094,            0.007228,            0.007228,            0.007228
                  16,            0.030457,            0.011795,            0.024027,             0.77905,             0.81348,             0.84728,             0.63775,            0.014166,            0.004869,            0.010583,             0.00703,             0.00703,             0.00703
                  17,            0.029942,            0.011785,            0.023548,             0.73366,             0.84627,             0.83976,             0.63678,            0.014196,           0.0053586,            0.010316,            0.006832,            0.006832,            0.006832
                  18,            0.029337,            0.011577,            0.023255,             0.77331,             0.88575,             0.87884,             0.68104,            0.013204,           0.0048063,           0.0090273,            0.006634,            0.006634,            0.006634
                  19,            0.029629,            0.011397,            0.022178,             0.79214,             0.86265,             0.87549,             0.67122,              0.0136,           0.0048355,           0.0090692,            0.006436,            0.006436,            0.006436
                  20,             0.02825,             0.01096,            0.020435,             0.80224,             0.88701,             0.90111,             0.70897,            0.013104,           0.0047147,           0.0082311,            0.006238,            0.006238,            0.006238
                  21,            0.028571,            0.011208,            0.020741,             0.81626,             0.83354,             0.88221,             0.69518,            0.013181,           0.0051173,           0.0085384,             0.00604,             0.00604,             0.00604
                  22,            0.028292,            0.011095,             0.02089,             0.80136,             0.88899,             0.89902,             0.71808,            0.012419,           0.0045424,           0.0080714,            0.005842,            0.005842,            0.005842
                  23,            0.027293,            0.010968,            0.020376,             0.87266,             0.80791,             0.89846,             0.72057,            0.012301,           0.0046455,            0.008324,            0.005644,            0.005644,            0.005644
                  24,             0.02726,            0.010833,             0.02012,             0.79962,             0.87708,             0.90511,             0.73343,            0.012312,           0.0046116,           0.0091578,            0.005446,            0.005446,            0.005446
                  25,            0.026652,            0.010774,            0.018866,             0.83987,             0.89844,             0.92752,             0.74134,            0.012059,           0.0044422,           0.0067976,            0.005248,            0.005248,            0.005248
                  26,            0.026888,            0.010753,            0.019139,             0.86727,             0.86337,             0.92824,             0.75531,            0.011676,           0.0043563,            0.006891,             0.00505,             0.00505,             0.00505
                  27,            0.026466,            0.010454,             0.01803,             0.87967,             0.88389,               0.941,             0.75628,            0.012331,           0.0044643,           0.0060915,            0.004852,            0.004852,            0.004852
                  28,            0.025791,            0.010414,            0.017813,             0.86442,             0.88684,             0.93098,             0.76662,            0.011434,           0.0042085,           0.0071004,            0.004654,            0.004654,            0.004654
                  29,            0.025671,            0.010016,            0.017421,             0.85995,             0.88731,             0.94407,             0.78043,            0.011395,            0.004258,           0.0066241,            0.004456,            0.004456,            0.004456
                  30,            0.026025,           0.0099948,             0.01792,             0.91185,             0.91129,             0.95133,             0.78302,            0.011288,           0.0042515,           0.0057755,            0.004258,            0.004258,            0.004258
                  31,            0.025373,           0.0099511,             0.01656,             0.90383,             0.88604,             0.94733,             0.79365,            0.011002,           0.0040601,            0.005633,             0.00406,             0.00406,             0.00406
                  32,            0.025099,            0.010048,            0.016921,             0.91875,              0.9182,             0.95994,             0.79691,            0.011115,           0.0041341,           0.0049019,            0.003862,            0.003862,            0.003862
                  33,            0.024312,           0.0097679,            0.016159,             0.91817,             0.88724,             0.95648,             0.79517,            0.011146,           0.0041952,           0.0055346,            0.003664,            0.003664,            0.003664
                  34,            0.023853,           0.0096732,            0.015603,              0.8846,             0.92326,             0.95328,             0.80454,            0.010576,           0.0039714,            0.005079,            0.003466,            0.003466,            0.003466
                  35,            0.023542,           0.0095002,            0.015367,             0.88712,             0.89562,             0.95684,             0.81216,            0.010717,            0.004007,           0.0049958,            0.003268,            0.003268,            0.003268
                  36,            0.024064,            0.009604,            0.015126,             0.90118,             0.91789,             0.95889,             0.81539,            0.010224,           0.0039508,           0.0049723,             0.00307,             0.00307,             0.00307
                  37,             0.02345,           0.0092947,            0.014999,             0.90607,             0.92523,             0.96502,             0.81798,            0.010322,           0.0038835,             0.00485,            0.002872,            0.002872,            0.002872
                  38,            0.023144,           0.0094537,            0.015071,             0.91565,             0.88983,             0.95781,             0.81433,            0.010136,           0.0039023,           0.0058569,            0.002674,            0.002674,            0.002674
                  39,            0.023083,           0.0092309,            0.013974,             0.88663,             0.92854,             0.96074,             0.81917,            0.010024,           0.0038417,           0.0053685,            0.002476,            0.002476,            0.002476
                  40,            0.022988,           0.0091504,            0.013703,             0.92919,             0.91287,             0.96566,             0.82511,            0.010008,            0.003902,           0.0043628,            0.002278,            0.002278,            0.002278
                  41,            0.021962,           0.0090849,            0.013392,             0.93035,             0.92231,             0.97051,             0.83432,           0.0097364,           0.0036879,           0.0045398,             0.00208,             0.00208,             0.00208
                  42,            0.022083,           0.0088133,            0.012692,             0.94033,             0.93906,             0.97674,              0.8395,           0.0098299,           0.0037027,           0.0040304,            0.001882,            0.001882,            0.001882
                  43,            0.021502,           0.0088537,            0.012497,             0.91868,             0.92775,             0.96988,             0.83716,           0.0096058,           0.0036708,             0.00464,            0.001684,            0.001684,            0.001684
                  44,            0.021881,           0.0087774,            0.012768,             0.91924,             0.92642,             0.97052,             0.84402,           0.0093355,           0.0036528,           0.0045988,            0.001486,            0.001486,            0.001486
                  45,            0.021539,           0.0088646,            0.013511,             0.93944,              0.9158,             0.97588,             0.84729,           0.0094474,           0.0036275,           0.0040731,            0.001288,            0.001288,            0.001288
                  46,            0.020594,            0.008458,            0.012154,             0.93695,             0.92073,             0.97377,             0.85062,           0.0091944,           0.0035887,           0.0040601,             0.00109,             0.00109,             0.00109
                  47,            0.021394,           0.0086722,            0.012747,             0.94369,             0.93083,             0.97905,             0.86108,           0.0090393,           0.0035127,           0.0037709,            0.000892,            0.000892,            0.000892
                  48,            0.020271,           0.0085119,            0.011499,              0.9448,             0.94525,             0.97964,             0.86156,           0.0090026,           0.0035069,           0.0036181,            0.000694,            0.000694,            0.000694
                  49,            0.019831,           0.0083399,            0.010783,             0.94576,             0.94394,             0.97692,             0.86437,           0.0088803,           0.0035186,            0.003694,            0.000496,            0.000496,            0.000496
